# TEMPERATURE = 8.500000e+01
# FREQ WR(AV) WI(AV)
1.00000000000e+00 1.38191457091e+03 -6.15702535974e-01
1.02329299228e+00 1.38191455798e+03 -6.30044084496e-01
1.04712854805e+00 1.38191454445e+03 -6.44719690176e-01
1.07151930524e+00 1.38191453027e+03 -6.59737134173e-01
1.09647819614e+00 1.38191451542e+03 -6.75104378894e-01
1.12201845430e+00 1.38191449988e+03 -6.90829572208e-01
1.14815362150e+00 1.38191448360e+03 -7.06921051773e-01
1.17489755494e+00 1.38191446656e+03 -7.23387349452e-01
1.20226443462e+00 1.38191444871e+03 -7.40237195838e-01
1.23026877081e+00 1.38191443002e+03 -7.57479524881e-01
1.25892541179e+00 1.38191441045e+03 -7.75123478629e-01
1.28824955169e+00 1.38191438996e+03 -7.93178412070e-01
1.31825673856e+00 1.38191436850e+03 -8.11653898095e-01
1.34896288259e+00 1.38191434603e+03 -8.30559732572e-01
1.38038426460e+00 1.38191432250e+03 -8.49905939540e-01
1.41253754462e+00 1.38191429786e+03 -8.69702776523e-01
1.44543977075e+00 1.38191427207e+03 -8.89960739967e-01
1.47910838817e+00 1.38191424505e+03 -9.10690570809e-01
1.51356124844e+00 1.38191421677e+03 -9.31903260167e-01
1.54881661891e+00 1.38191418715e+03 -9.53610055171e-01
1.58489319246e+00 1.38191415613e+03 -9.75822464921e-01
1.62181009736e+00 1.38191412365e+03 -9.98552266593e-01
1.65958690744e+00 1.38191408964e+03 -1.02181151168e+00
1.69824365246e+00 1.38191405403e+03 -1.04561253239e+00
1.73780082875e+00 1.38191401674e+03 -1.06996794816e+00
1.77827941004e+00 1.38191397769e+03 -1.09489067238e+00
1.81970085861e+00 1.38191393681e+03 -1.12039391920e+00
1.86208713666e+00 1.38191389399e+03 -1.14649121059e+00
1.90546071796e+00 1.38191384916e+03 -1.17319638344e+00
1.94984459976e+00 1.38191380222e+03 -1.20052359696e+00
1.99526231497e+00 1.38191375306e+03 -1.22848734013e+00
2.04173794467e+00 1.38191370159e+03 -1.25710243943e+00
2.08929613085e+00 1.38191364769e+03 -1.28638406667e+00
2.13796208950e+00 1.38191359125e+03 -1.31634774704e+00
2.18776162395e+00 1.38191353215e+03 -1.34700936734e+00
2.23872113857e+00 1.38191347026e+03 -1.37838518440e+00
2.29086765277e+00 1.38191340546e+03 -1.41049183371e+00
2.34422881532e+00 1.38191333760e+03 -1.44334633823e+00
2.39883291902e+00 1.38191326655e+03 -1.47696611739e+00
2.45470891569e+00 1.38191319215e+03 -1.51136899638e+00
2.51188643151e+00 1.38191311424e+03 -1.54657321555e+00
2.57039578277e+00 1.38191303266e+03 -1.58259744008e+00
2.63026799190e+00 1.38191294723e+03 -1.61946076992e+00
2.69153480393e+00 1.38191285778e+03 -1.65718274985e+00
2.75422870334e+00 1.38191276411e+03 -1.69578337990e+00
2.81838293126e+00 1.38191266603e+03 -1.73528312590e+00
2.88403150313e+00 1.38191256333e+03 -1.77570293037e+00
2.95120922667e+00 1.38191245578e+03 -1.81706422360e+00
3.01995172040e+00 1.38191234317e+03 -1.85938893500e+00
3.09029543251e+00 1.38191222525e+03 -1.90269950473e+00
3.16227766017e+00 1.38191210177e+03 -1.94701889562e+00
3.23593656930e+00 1.38191197248e+03 -1.99237060529e+00
3.31131121483e+00 1.38191183709e+03 -2.03877867866e+00
3.38844156139e+00 1.38191169532e+03 -2.08626772063e+00
3.46736850453e+00 1.38191154686e+03 -2.13486290918e+00
3.54813389234e+00 1.38191139142e+03 -2.18459000868e+00
3.63078054770e+00 1.38191122864e+03 -2.23547538355e+00
3.71535229097e+00 1.38191105820e+03 -2.28754601223e+00
3.80189396321e+00 1.38191087972e+03 -2.34082950147e+00
3.89045144994e+00 1.38191069283e+03 -2.39535410100e+00
3.98107170553e+00 1.38191049713e+03 -2.45114871843e+00
4.07380277804e+00 1.38191029221e+03 -2.50824293463e+00
4.16869383470e+00 1.38191007763e+03 -2.56666701936e+00
4.26579518802e+00 1.38190985294e+03 -2.62645194734e+00
4.36515832240e+00 1.38190961766e+03 -2.68762941464e+00
4.46683592151e+00 1.38190937129e+03 -2.75023185549e+00
4.57088189615e+00 1.38190911331e+03 -2.81429245944e+00
4.67735141287e+00 1.38190884317e+03 -2.87984518896e+00
4.78630092323e+00 1.38190856031e+03 -2.94692479743e+00
4.89778819368e+00 1.38190826411e+03 -3.01556684757e+00
5.01187233627e+00 1.38190795395e+03 -3.08580773021e+00
5.12861383991e+00 1.38190762917e+03 -3.15768468366e+00
5.24807460250e+00 1.38190728909e+03 -3.23123581335e+00
5.37031796370e+00 1.38190693298e+03 -3.30650011205e+00
5.49540873858e+00 1.38190656009e+03 -3.38351748054e+00
5.62341325190e+00 1.38190616962e+03 -3.46232874870e+00
5.75439937337e+00 1.38190576075e+03 -3.54297569714e+00
5.88843655356e+00 1.38190533262e+03 -3.62550107935e+00
6.02559586074e+00 1.38190488430e+03 -3.70994864432e+00
6.16595001861e+00 1.38190441486e+03 -3.79636315967e+00
6.30957344480e+00 1.38190392330e+03 -3.88479043542e+00
6.45654229035e+00 1.38190340856e+03 -3.97527734819e+00
6.60693448008e+00 1.38190286957e+03 -4.06787186600e+00
6.76082975392e+00 1.38190230518e+03 -4.16262307372e+00
6.91830970919e+00 1.38190171419e+03 -4.25958119899e+00
7.07945784384e+00 1.38190109535e+03 -4.35879763882e+00
7.24435960075e+00 1.38190044734e+03 -4.46032498681e+00
