# TEMPERATURE = 2.500000e+01
# FREQ WR(AV) WI(AV)
1.00000000000e+00 -3.31263268511e-01 5.35458715874e-04
1.02329299228e+00 -3.31263257533e-01 5.47931146724e-04
1.04712854805e+00 -3.31263246038e-01 5.60694097460e-04
1.07151930524e+00 -3.31263234001e-01 5.73754335135e-04
1.09647819614e+00 -3.31263221397e-01 5.87118784423e-04
1.12201845430e+00 -3.31263208198e-01 6.00794531296e-04
1.14815362150e+00 -3.31263194378e-01 6.14788826775e-04
1.17489755494e+00 -3.31263179906e-01 6.29109090777e-04
1.20226443462e+00 -3.31263164752e-01 6.43762916048e-04
1.23026877081e+00 -3.31263148884e-01 6.58758072192e-04
1.25892541179e+00 -3.31263132268e-01 6.74102509785e-04
1.28824955169e+00 -3.31263114869e-01 6.89804364593e-04
1.31825673856e+00 -3.31263096650e-01 7.05871961888e-04
1.34896288259e+00 -3.31263077573e-01 7.22313820855e-04
1.38038426460e+00 -3.31263057596e-01 7.39138659115e-04
1.41253754462e+00 -3.31263036678e-01 7.56355397346e-04
1.44543977075e+00 -3.31263014774e-01 7.73973164008e-04
1.47910838817e+00 -3.31262991837e-01 7.92001300188e-04
1.51356124844e+00 -3.31262967820e-01 8.10449364550e-04
1.54881661891e+00 -3.31262942671e-01 8.29327138402e-04
1.58489319246e+00 -3.31262916337e-01 8.48644630883e-04
1.62181009736e+00 -3.31262888761e-01 8.68412084269e-04
1.65958690744e+00 -3.31262859886e-01 8.88639979403e-04
1.69824365246e+00 -3.31262829650e-01 9.09339041252e-04
1.73780082875e+00 -3.31262797990e-01 9.30520244591e-04
1.77827941004e+00 -3.31262764837e-01 9.52194819825e-04
1.81970085861e+00 -3.31262730121e-01 9.74374258939e-04
1.86208713666e+00 -3.31262693769e-01 9.97070321592e-04
1.90546071796e+00 -3.31262655705e-01 1.02029504135e-03
1.94984459976e+00 -3.31262615846e-01 1.04406073207e-03
1.99526231497e+00 -3.31262574109e-01 1.06837999443e-03
2.04173794467e+00 -3.31262530405e-01 1.09326572258e-03
2.08929613085e+00 -3.31262484641e-01 1.11873111104e-03
2.13796208950e+00 -3.31262436720e-01 1.14478966161e-03
2.18776162395e+00 -3.31262386542e-01 1.17145519062e-03
2.23872113857e+00 -3.31262333997e-01 1.19874183617e-03
2.29086765277e+00 -3.31262278977e-01 1.22666406569e-03
2.34422881532e+00 -3.31262221364e-01 1.25523668356e-03
2.39883291902e+00 -3.31262161035e-01 1.28447483900e-03
2.45470891569e+00 -3.31262097864e-01 1.31439403407e-03
2.51188643151e+00 -3.31262031715e-01 1.34501013190e-03
2.57039578277e+00 -3.31261962449e-01 1.37633936509e-03
2.63026799190e+00 -3.31261889918e-01 1.40839834432e-03
2.69153480393e+00 -3.31261813969e-01 1.44120406718e-03
2.75422870334e+00 -3.31261734440e-01 1.47477392713e-03
2.81838293126e+00 -3.31261651164e-01 1.50912572275e-03
2.88403150313e+00 -3.31261563962e-01 1.54427766719e-03
2.95120922667e+00 -3.31261472652e-01 1.58024839777e-03
3.01995172040e+00 -3.31261377038e-01 1.61705698592e-03
3.09029543251e+00 -3.31261276918e-01 1.65472294725e-03
3.16227766017e+00 -3.31261172079e-01 1.69326625190e-03
3.23593656930e+00 -3.31261062299e-01 1.73270733514e-03
3.31131121483e+00 -3.31260947346e-01 1.77306710817e-03
