# TEMPERATURE = 2.500000e+01
# FREQ WR(AV) WI(AV)
1.00000000000e+00 1.56324467608e+03 -6.79508335448e-01
1.02329299228e+00 1.56324466216e+03 -6.95336111675e-01
1.04712854805e+00 1.56324464759e+03 -7.11532563729e-01
1.07151930524e+00 1.56324463234e+03 -7.28106279142e-01
1.09647819614e+00 1.56324461636e+03 -7.45066045472e-01
1.12201845430e+00 1.56324459964e+03 -7.62420854964e-01
1.14815362150e+00 1.56324458212e+03 -7.80179909316e-01
1.17489755494e+00 1.56324456378e+03 -7.98352624560e-01
1.20226443462e+00 1.56324454458e+03 -8.16948636049e-01
1.23026877081e+00 1.56324452446e+03 -8.35977803574e-01
1.25892541179e+00 1.56324450341e+03 -8.55450216582e-01
1.28824955169e+00 1.56324448136e+03 -8.75376199532e-01
1.31825673856e+00 1.56324445827e+03 -8.95766317366e-01
1.34896288259e+00 1.56324443409e+03 -9.16631381112e-01
1.38038426460e+00 1.56324440877e+03 -9.37982453613e-01
1.41253754462e+00 1.56324438226e+03 -9.59830855395e-01
1.44543977075e+00 1.56324435450e+03 -9.82188170668e-01
1.47910838817e+00 1.56324432543e+03 -1.00506625347e+00
1.51356124844e+00 1.56324429499e+03 -1.02847723393e+00
1.54881661891e+00 1.56324426312e+03 -1.05243352476e+00
1.58489319246e+00 1.56324422974e+03 -1.07694782775e+00
1.62181009736e+00 1.56324419480e+03 -1.10203314056e+00
1.65958690744e+00 1.56324415820e+03 -1.12770276361e+00
1.69824365246e+00 1.56324411988e+03 -1.15397030711e+00
1.73780082875e+00 1.56324407976e+03 -1.18084969827e+00
1.77827941004e+00 1.56324403774e+03 -1.20835518871e+00
1.81970085861e+00 1.56324399374e+03 -1.23650136201e+00
1.86208713666e+00 1.56324394767e+03 -1.26530314142e+00
1.90546071796e+00 1.56324389943e+03 -1.29477579779e+00
1.94984459976e+00 1.56324384892e+03 -1.32493495766e+00
1.99526231497e+00 1.56324379602e+03 -1.35579661155e+00
2.04173794467e+00 1.56324374063e+03 -1.38737712243e+00
2.08929613085e+00 1.56324368263e+03 -1.41969323438e+00
2.13796208950e+00 1.56324362190e+03 -1.45276208152e+00
2.18776162395e+00 1.56324355830e+03 -1.48660119703e+00
2.23872113857e+00 1.56324349171e+03 -1.52122852247e+00
2.29086765277e+00 1.56324342198e+03 -1.55666241730e+00
2.34422881532e+00 1.56324334897e+03 -1.59292166860e+00
2.39883291902e+00 1.56324327251e+03 -1.63002550105e+00
2.45470891569e+00 1.56324319245e+03 -1.66799358708e+00
2.51188643151e+00 1.56324310861e+03 -1.70684605734e+00
2.57039578277e+00 1.56324302083e+03 -1.74660351135e+00
2.63026799190e+00 1.56324292890e+03 -1.78728702841e+00
2.69153480393e+00 1.56324283265e+03 -1.82891817881e+00
2.75422870334e+00 1.56324273186e+03 -1.87151903523e+00
2.81838293126e+00 1.56324262632e+03 -1.91511218444e+00
2.88403150313e+00 1.56324251580e+03 -1.95972073930e+00
2.95120922667e+00 1.56324240008e+03 -2.00536835097e+00
3.01995172040e+00 1.56324227890e+03 -2.05207922150e+00
3.09029543251e+00 1.56324215201e+03 -2.09987811661e+00
3.16227766017e+00 1.56324201915e+03 -2.14879037883e+00
3.23593656930e+00 1.56324188002e+03 -2.19884194094e+00
3.31131121483e+00 1.56324173433e+03 -2.25005933971e+00
3.38844156139e+00 1.56324158178e+03 -2.30246972996e+00
3.46736850453e+00 1.56324142203e+03 -2.35610089897e+00
3.54813389234e+00 1.56324125476e+03 -2.41098128118e+00
3.63078054770e+00 1.56324107961e+03 -2.46713997326e+00
3.71535229097e+00 1.56324089620e+03 -2.52460674956e+00
3.80189396321e+00 1.56324070415e+03 -2.58341207787e+00
3.89045144994e+00 1.56324050304e+03 -2.64358713555e+00
3.98107170553e+00 1.56324029246e+03 -2.70516382607e+00
