# TEMPERATURE = 2.500000e+01
# FREQ WR(AV) WI(AV)
1.00000000000e+00 -3.32082883304e-01 5.26771180688e-04
1.02329299228e+00 -3.32082872516e-01 5.39041252938e-04
1.04712854805e+00 -3.32082861219e-01 5.51597131542e-04
1.07151930524e+00 -3.32082849390e-01 5.64445473763e-04
1.09647819614e+00 -3.32082837004e-01 5.77593091925e-04
1.12201845430e+00 -3.32082824034e-01 5.91046957034e-04
1.14815362150e+00 -3.32082810452e-01 6.04814202467e-04
1.17489755494e+00 -3.32082796231e-01 6.18902127758e-04
1.20226443462e+00 -3.32082781339e-01 6.33318202464e-04
1.23026877081e+00 -3.32082765745e-01 6.48070070130e-04
1.25892541179e+00 -3.32082749416e-01 6.63165552340e-04
1.28824955169e+00 -3.32082732318e-01 6.78612652862e-04
1.31825673856e+00 -3.32082714414e-01 6.94419561893e-04
1.34896288259e+00 -3.32082695667e-01 7.10594660400e-04
1.38038426460e+00 -3.32082676035e-01 7.27146524567e-04
1.41253754462e+00 -3.32082655479e-01 7.44083930335e-04
1.44543977075e+00 -3.32082633954e-01 7.61415858064e-04
1.47910838817e+00 -3.32082611414e-01 7.79151497284e-04
1.51356124844e+00 -3.32082587812e-01 7.97300251576e-04
1.54881661891e+00 -3.32082563098e-01 8.15871743551e-04
1.58489319246e+00 -3.32082537219e-01 8.34875819956e-04
1.62181009736e+00 -3.32082510120e-01 8.54322556892e-04
1.65958690744e+00 -3.32082481744e-01 8.74222265156e-04
1.69824365246e+00 -3.32082452031e-01 8.94585495707e-04
1.73780082875e+00 -3.32082420918e-01 9.15423045263e-04
1.77827941004e+00 -3.32082388338e-01 9.36745962019e-04
1.81970085861e+00 -3.32082354223e-01 9.58565551511e-04
1.86208713666e+00 -3.32082318500e-01 9.80893382603e-04
1.90546071796e+00 -3.32082281093e-01 1.00374129363e-03
1.94984459976e+00 -3.32082241924e-01 1.02712139865e-03
1.99526231497e+00 -3.32082200908e-01 1.05104609390e-03
2.04173794467e+00 -3.32082157960e-01 1.07552806436e-03
2.08929613085e+00 -3.32082112987e-01 1.10058029044e-03
2.13796208950e+00 -3.32082065895e-01 1.12621605491e-03
2.18776162395e+00 -3.32082016584e-01 1.15244894991e-03
2.23872113857e+00 -3.32081964948e-01 1.17929288418e-03
2.29086765277e+00 -3.32081910879e-01 1.20676209042e-03
2.34422881532e+00 -3.32081854262e-01 1.23487113281e-03
2.39883291902e+00 -3.32081794976e-01 1.26363491479e-03
2.45470891569e+00 -3.32081732897e-01 1.29306868690e-03
2.51188643151e+00 -3.32081667892e-01 1.32318805490e-03
2.57039578277e+00 -3.32081599823e-01 1.35400898804e-03
2.63026799190e+00 -3.32081528547e-01 1.38554782750e-03
2.69153480393e+00 -3.32081453911e-01 1.41782129507e-03
2.75422870334e+00 -3.32081375757e-01 1.45084650204e-03
2.81838293126e+00 -3.32081293921e-01 1.48464095820e-03
2.88403150313e+00 -3.32081208227e-01 1.51922258121e-03
2.95120922667e+00 -3.32081118495e-01 1.55460970602e-03
3.01995172040e+00 -3.32081024535e-01 1.59082109462e-03
3.09029543251e+00 -3.32080926145e-01 1.62787594600e-03
3.16227766017e+00 -3.32080823119e-01 1.66579390630e-03
3.23593656930e+00 -3.32080715238e-01 1.70459507923e-03
3.31131121483e+00 -3.32080602272e-01 1.74430003674e-03
3.38844156139e+00 -3.32080483982e-01 1.78492982990e-03
3.46736850453e+00 -3.32080360118e-01 1.82650600005e-03
3.54813389234e+00 -3.32080230416e-01 1.86905059028e-03
3.63078054770e+00 -3.32080094601e-01 1.91258615702e-03
3.71535229097e+00 -3.32079952386e-01 1.95713578205e-03
3.80189396321e+00 -3.32079803468e-01 2.00272308474e-03
