# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
0.00000000000e+00 5.19719223104e-01 1.01928797541e-12 1.63896068692e-04 3.20815214467e-10 2.76603757777e-10 3.29653636434e-10 9.39766286002e+02 4.22406907086e-02
1.00000000000e-02 7.46806105725e-01 9.95486821089e-13 1.64216586800e-04 3.21327196209e-10 2.76739895759e-10 3.29653636696e-10 6.54045779406e+02 4.22406912658e-02
2.00000000000e-02 1.07004917177e+00 9.75018959140e-13 1.64546638835e-04 3.21816327591e-10 2.76877537848e-10 3.29653637037e-10 4.56497321540e+02 4.22406920477e-02
3.00000000000e-02 1.52691845551e+00 9.58891123046e-13 1.64891354901e-04 3.22282164112e-10 2.77016711629e-10 3.29653637479e-10 3.19926640059e+02 4.22406931451e-02
4.00000000000e-02 2.16620306922e+00 9.48523915413e-13 1.65257317748e-04 3.22724479314e-10 2.77157445387e-10 3.29653638050e-10 2.25522225283e+02 4.22406946850e-02
5.00000000000e-02 3.04823774623e+00 9.45918522615e-13 1.65652871575e-04 3.23143255681e-10 2.77299768125e-10 3.29653638787e-10 1.60272689758e+02 4.22406968460e-02
6.00000000000e-02 4.24180324408e+00 9.53890600196e-13 1.66088487956e-04 3.23538670675e-10 2.77443709595e-10 3.29653639737e-10 1.15179391972e+02 4.22406998786e-02
7.00000000000e-02 5.81511481583e+00 9.76398361387e-13 1.66577192713e-04 3.23911078878e-10 2.77589300315e-10 3.29653640960e-10 8.40195683271e+01 4.22407041341e-02
8.00000000000e-02 7.81868850349e+00 1.01900275986e-12 1.67135052309e-04 3.24260991302e-10 2.77736571599e-10 3.29653642530e-10 6.24905067154e+01 4.22407101056e-02
9.00000000000e-02 1.02609145359e+01 1.08951286476e-12 1.67781709203e-04 3.24589052956e-10 2.77885555579e-10 3.29653644542e-10 4.76174362286e+01 4.22407184847e-02
1.00000000000e-01 1.30836888019e+01 1.19889081196e-12 1.68540940858e-04 3.24896019686e-10 2.78036285233e-10 3.29653647114e-10 3.73439141365e+01 4.22407302417e-02
1.10000000000e-01 1.61479621662e+01 1.36249567515e-12 1.68718882394e-04 3.25182735216e-10 2.78188794416e-10 3.29653650394e-10 3.02491483900e+01 4.22407467354e-02
1.20000000000e-01 1.92621646995e+01 1.60183441779e-12 1.69026886910e-04 3.25450109120e-10 2.78343117883e-10 3.29653654563e-10 2.53506943946e+01 4.22407698677e-02
1.30000000000e-01 2.22198182990e+01 1.94706904258e-12 1.69554945876e-04 3.25699096346e-10 2.78499291324e-10 3.29653659843e-10 2.19688672299e+01 4.22408023055e-02
1.40000000000e-01 2.48526608706e+01 2.44045596657e-12 1.70346465939e-04 3.25930678678e-10 2.78657351393e-10 3.29653666504e-10 1.96342947425e+01 4.22408477843e-02
1.50000000000e-01 2.70637981808e+01 3.14117554774e-12 1.71449159006e-04 3.26145848407e-10 2.78817335740e-10 3.29653674869e-10 1.80228503087e+01 4.22409115352e-02
1.60000000000e-01 2.88306801780e+01 4.13208001074e-12 1.72913519411e-04 3.26345594322e-10 2.78979283045e-10 3.29653685322e-10 1.69107124026e+01 4.22410008807e-02
1.70000000000e-01 3.01859361826e+01 5.52911503537e-12 1.74790349209e-04 3.26530890001e-10 2.79143233056e-10 3.29653698308e-10 1.61433281048e+01 4.22411260675e-02
1.80000000000e-01 3.11915045155e+01 7.49446340320e-12 1.77127256416e-04 3.26702684330e-10 2.79309226619e-10 3.29653714339e-10 1.56139792851e+01 4.22413014274e-02
1.90000000000e-01 3.19173174425e+01 1.02548628436e-11 1.79964234601e-04 3.26861894068e-10 2.79477305721e-10 3.29653733996e-10 1.52489807512e+01 4.22415469955e-02
2.00000000000e-01 3.24283136970e+01 1.41271044139e-11 1.83328681262e-04 3.27009398274e-10 2.79647513527e-10 3.29653757921e-10 1.49974586529e+01 4.22418907626e-02
2.10000000000e-01 3.27786725839e+01 1.95534749494e-11 1.87230467410e-04 3.27146034360e-10 2.79819894420e-10 3.29653786822e-10 1.48242921688e+01 4.22423718049e-02
2.20000000000e-01 3.30106382816e+01 2.71509357760e-11 1.91657841329e-04 3.27272595557e-10 2.79994494045e-10 3.29653821471e-10 1.47052399038e+01 4.22430446265e-02
2.30000000000e-01 3.31556291885e+01 3.77792173296e-11 1.96574960569e-04 3.27389829548e-10 2.80171359352e-10 3.29653862708e-10 1.46235752297e+01 4.22439851695e-02
2.40000000000e-01 3.32361557516e+01 5.26348639228e-11 2.01921706505e-04 3.27498438079e-10 2.80350538642e-10 3.29653911460e-10 1.45677639493e+01 4.22452991114e-02
2.50000000000e-01 3.32677783868e+01 7.33807137274e-11 2.07616281235e-04 3.27599077345e-10 2.80532081613e-10 3.29653968771e-10 1.45298621391e+01 4.22471332815e-02
2.60000000000e-01 3.32607857343e+01 1.02323490545e-10 2.13561156571e-04 3.27692358983e-10 2.80716039410e-10 3.29654035858e-10 1.45044118348e+01 4.22496913058e-02
2.70000000000e-01 3.32215108632e+01 1.42656261129e-10 2.19653492535e-04 3.27778851519e-10 2.80902464677e-10 3.29654114202e-10 1.44876811959e+01 4.22532549391e-02
2.80000000000e-01 3.31533096387e+01 1.98787589267e-10 2.25802342533e-04 3.27859082162e-10 2.81091411609e-10 3.29654205679e-10 1.44771434673e+01 4.22582129743e-02
2.90000000000e-01 3.30572630981e+01 2.76785322943e-10 2.31956876568e-04 3.27933538810e-10 2.81282936006e-10 3.29654312755e-10 1.44711220324e+01 4.22651001219e-02
3.00000000000e-01 3.29326717341e+01 3.84969929601e-10 2.38152452873e-04 3.28002672211e-10 2.81477095334e-10 3.29654438769e-10 1.44685516858e+01 4.22746488038e-02
3.10000000000e-01 3.27774037966e+01 5.34699666722e-10 2.44584524697e-04 3.28066898187e-10 2.81673948780e-10 3.29654588330e-10 1.44688220485e+01 4.22878573407e-02
3.20000000000e-01 3.25881513793e+01 7.41396633854e-10 2.51723713577e-04 3.28126599883e-10 2.81873557317e-10 3.29654767878e-10 1.44716799673e+01 4.23060783948e-02
3.30000000000e-01 3.23606408490e+01 1.02586711998e-09 2.60487919395e-04 3.28182129988e-10 2.82075983763e-10 3.29654986461e-10 1.44771752057e+01 4.23311315467e-02
3.40000000000e-01 3.20898389117e+01 1.41596885376e-09 2.72486743599e-04 3.28233812896e-10 2.82281292855e-10 3.29655256783e-10 1.44856386993e+01 4.23654431816e-02
3.50000000000e-01 3.17701915398e+01 1.94866790015e-09 2.90345065881e-04 3.28281946800e-10 2.82489551310e-10 3.29655596590e-10 1.44976856982e+01 4.24122149521e-02
3.60000000000e-01 3.13959283453e+01 2.67250431438e-09 3.18088251933e-04 3.28326805675e-10 2.82700827901e-10 3.29656030407e-10 1.45142375866e+01 4.24756183674e-02
3.70000000000e-01 3.09614573637e+01 3.65044370086e-09 3.61520506279e-04 3.28368641166e-10 2.82915193529e-10 3.29656591591e-10 1.45365562388e+01 4.25610069459e-02
3.80000000000e-01 3.04618619150e+01 4.96302913473e-09 4.28444139709e-04 3.28407684361e-10 2.83132721301e-10 3.29657324497e-10 1.45662835986e+01 4.26751285639e-02
3.90000000000e-01 2.98934902261e+01 6.71166740940e-09 5.28469332671e-04 3.28444147449e-10 2.83353486604e-10 3.29658286335e-10 1.46054770455e+01 4.28263096131e-02
4.00000000000e-01 2.92545998738e+01 9.02179720316e-09 6.72124438539e-04 3.28478225268e-10 2.83577567194e-10 3.29659548030e-10 1.46566286496e+01 4.30245712255e-02
4.10000000000e-01 2.85459866615e+01 1.20456179396e-08 8.69124028361e-04 3.28510096739e-10 2.83805043274e-10 3.29661193228e-10 1.47226547234e+01 4.32816299198e-02
4.20000000000e-01 2.77714996859e+01 1.59640402354e-08 1.12606023560e-03 3.28539926193e-10 2.84035997584e-10 3.29663314812e-10 1.48068426983e+01 4.36107361108e-02
4.30000000000e-01 2.69383326753e+01 2.09875868947e-08 1.44427509463e-03 3.28567864595e-10 2.84270515491e-10 3.29666008954e-10 1.49127469052e+01 4.40263198371e-02
4.40000000000e-01 2.60569963052e+01 2.73561486658e-08 1.81881930174e-03 3.28594050673e-10 2.84508685080e-10 3.29669367701e-10 1.50440341410e+01 4.45434467615e-02
4.50000000000e-01 2.51409194872e+01 3.53377711028e-08 2.23895993181e-03 3.28618611953e-10 2.84750597248e-10 3.29673471740e-10 1.52042928878e+01 4.51771351228e-02
4.60000000000e-01 2.42056905253e+01 4.52269651957e-08 2.68997898140e-03 3.28641665708e-10 2.84996345802e-10 3.29678384969e-10 1.53968331675e+01 4.59416329630e-02
4.70000000000e-01 2.32680140378e+01 5.73433056376e-08 3.15554999043e-03 3.28663319832e-10 2.85246027563e-10 3.29684151798e-10 1.56245119570e+01 4.68497852438e-02
4.80000000000e-01 2.23445095460e+01 7.20312064629e-08 3.61998028934e-03 3.28683673634e-10 2.85499742459e-10 3.29690797271e-10 1.58896171907e+01 4.79126150851e-02
4.90000000000e-01 2.14505034104e+01 8.96616720255e-08 4.06986803310e-03 3.28702818565e-10 2.85757593638e-10 3.29698329422e-10 1.61938305141e+01 4.91391976300e-02
5.00000000000e-01 2.05989661001e+01 1.10636503731e-07 4.49501491036e-03 3.28720838889e-10 2.86019687566e-10 3.29706742995e-10 1.65382690409e+01 5.05368323696e-02
5.10000000000e-01 1.97997233338e+01 1.35394969819e-07 4.88865261767e-03 3.28737812285e-10 2.86286134141e-10 3.29716023634e-10 1.69235867556e+01 5.21114464884e-02
5.20000000000e-01 1.90590248388e+01 1.64422444595e-07 5.24716296785e-03 3.28753810404e-10 2.86557046795e-10 3.29726151861e-10 1.73501039500e+01 5.38681138958e-02
5.30000000000e-01 1.83794946677e+01 1.98260129305e-07 5.56950715181e-03 3.28768899377e-10 2.86832542605e-10 3.29737106428e-10 1.78179314595e+01 5.58115649552e-02
5.40000000000e-01 1.77604250963e+01 2.37514765371e-07 5.85655350607e-03 3.28783140275e-10 2.87112742404e-10 3.29748866861e-10 1.83270639825e+01 5.79465863610e-02
