# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
0.00000000000e+00 3.36337321689e+01 8.10614166672e-10 2.26321403471e-04 3.23810392054e-10 3.19466360936e-10 2.61494476382e-10 2.90951107253e+00 4.05500280620e-02
1.00000000000e-02 3.35266393563e+01 1.13409849154e-09 2.55231284013e-04 3.23828927127e-10 3.19501564205e-10 2.61494686919e-10 2.90921064948e+00 4.05621331971e-02
2.00000000000e-02 3.33946936233e+01 1.58479066442e-09 2.96327018181e-04 3.23846374439e-10 3.19536825707e-10 2.61495012073e-10 2.90939184461e+00 4.05789921295e-02
3.00000000000e-02 3.32350278575e+01 2.21137764784e-09 3.53140702752e-04 3.23862755298e-10 3.19572145572e-10 2.61495484662e-10 2.91003889755e+00 4.06024185386e-02
4.00000000000e-02 3.30439251041e+01 3.08031448938e-09 4.29664182724e-04 3.23878096872e-10 3.19607523931e-10 2.61496143667e-10 2.91118955187e+00 4.06348826469e-02
5.00000000000e-02 3.28169259508e+01 4.28175652555e-09 5.30047445389e-04 3.23892431508e-10 3.19642960911e-10 2.61497034083e-10 2.91293536601e+00 4.06797255379e-02
6.00000000000e-02 3.25489504549e+01 5.93713106999e-09 6.58089095695e-04 3.23905795975e-10 3.19678456641e-10 2.61498206033e-10 2.91542676701e+00 4.07414282951e-02
7.00000000000e-02 3.22344602808e+01 8.20859851697e-09 8.16583621339e-04 3.23918230647e-10 3.19714011247e-10 2.61499713079e-10 2.91888221409e+00 4.08259402354e-02
8.00000000000e-02 3.18676843301e+01 1.13105691371e-08 1.00670971445e-03 3.23929778684e-10 3.19749624853e-10 2.61501609954e-10 2.92360080291e+00 4.09410639384e-02
9.00000000000e-02 3.14429258970e+01 1.55232744517e-08 1.22770165592e-03 3.23940485217e-10 3.19785297582e-10 2.61503950210e-10 2.92997732413e+00 4.10968833097e-02
1.00000000000e-01 3.09549591405e+01 2.12081196332e-08 1.47695322099e-03 3.23950396588e-10 3.19821029557e-10 2.61506784296e-10 2.93851816947e+00 4.13062034477e-02
1.10000000000e-01 3.03995059903e+01 2.88241600724e-08 1.75049396977e-03 3.23959559642e-10 3.19856820895e-10 2.61510158381e-10 2.94985557574e+00 4.15849477098e-02
1.20000000000e-01 2.97737619490e+01 3.89445761753e-08 2.04361151493e-03 3.23968021095e-10 3.19892671715e-10 2.61514113855e-10 2.96475663794e+00 4.19524307149e-02
1.30000000000e-01 2.90769144641e+01 5.22715359272e-08 2.35139138112e-03 3.23975826998e-10 3.19928582132e-10 2.61518687295e-10 2.98412259801e+00 4.24314026420e-02
1.40000000000e-01 2.83105783994e+01 6.96474546652e-08 2.66906772420e-03 3.23983022271e-10 3.19964552258e-10 2.61523910658e-10 3.00897361182e+00 4.30477512666e-02
1.50000000000e-01 2.74790694361e+01 9.20605396665e-08 2.99220017830e-03 3.23989650344e-10 3.20000582205e-10 2.61529811561e-10 3.04041512012e+00 4.38297677086e-02
1.60000000000e-01 2.65894546636e+01 1.20642792304e-07 3.31674454165e-03 3.23995752867e-10 3.20036672080e-10 2.61536413605e-10 3.07958458390e+00 4.48069412976e-02
1.70000000000e-01 2.56513572612e+01 1.56659421450e-07 3.63907831544e-03 3.24001369499e-10 3.20072821987e-10 2.61543736724e-10 3.12758166794e+00 4.60083482333e-02
1.80000000000e-01 2.46765344325e+01 2.01489873618e-07 3.95601451119e-03 3.24006537775e-10 3.20109032029e-10 2.61551797588e-10 3.18539007735e+00 4.74608181395e-02
1.90000000000e-01 2.36782759187e+01 2.56602230610e-07 4.26481394639e-03 3.24011293017e-10 3.20145302302e-10 2.61560610038e-10 3.25380341362e+00 4.91871623733e-02
2.00000000000e-01 2.26706763463e+01 3.23524221982e-07 4.56319429071e-03 3.24015668307e-10 3.20181632902e-10 2.61570185557e-10 3.33336860894e+00 5.12047816648e-02
2.10000000000e-01 2.16678293860e+01 4.03815079727e-07 4.84933090622e-03 3.24019694497e-10 3.20218023919e-10 2.61580533764e-10 3.42435755066e+00 5.35249097261e-02
2.20000000000e-01 2.06829957208e+01 4.99042468460e-07 5.12184577624e-03 3.24023400250e-10 3.20254475440e-10 2.61591662915e-10 3.52677100452e+00 5.61526043368e-02
2.30000000000e-01 1.97278182725e+01 6.10767538670e-07 5.37978343974e-03 3.24026812110e-10 3.20290987545e-10 2.61603580387e-10 3.64037118788e+00 5.90874183543e-02
2.40000000000e-01 1.88116813631e+01 7.40539005665e-07 5.62257522957e-03 3.24029954591e-10 3.20327560311e-10 2.61616293137e-10 3.76473323008e+00 6.23245361951e-02
2.50000000000e-01 1.79413092236e+01 8.89894731493e-07 5.84999465958e-03 3.24032850271e-10 3.20364193809e-10 2.61629808120e-10 3.89930326689e+00 6.58560944621e-02
2.60000000000e-01 1.71206611301e+01 1.06036741784e-06 6.06210746920e-03 3.24035519910e-10 3.20400888106e-10 2.61644132664e-10 4.04345225555e+00 6.96724272144e-02
2.70000000000e-01 1.63511181904e+01 1.25349029087e-06 6.25921979974e-03 3.24037982552e-10 3.20437643260e-10 2.61659274796e-10 4.19651844251e+00 7.37630597271e-02
2.80000000000e-01 1.56318975050e+01 1.47079915805e-06 6.44182749227e-03 3.24040255652e-10 3.20474459324e-10 2.61675243507e-10 4.35783589097e+00 7.81173774183e-02
2.90000000000e-01 1.49605953226e+01 1.71382857305e-06 6.61056878979e-03 3.24042355179e-10 3.20511336343e-10 2.61692048991e-10 4.52675009049e+00 8.27249835818e-02
3.00000000000e-01 1.43337581913e+01 1.98410149183e-06 6.76618197021e-03 3.24044295734e-10 3.20548274355e-10 2.61709702817e-10 4.70262375836e+00 8.75758131216e-02
3.10000000000e-01 1.37474022353e+01 2.28311324652e-06 6.90946874331e-03 3.24046090653e-10 3.20585273390e-10 2.61728218086e-10 4.88483656042e+00 9.26600889339e-02
3.20000000000e-01 1.31974321875e+01 2.61231162486e-06 7.04126367590e-03 3.24047752112e-10 3.20622333467e-10 2.61747609538e-10 5.07278207881e+00 9.79682020822e-02
3.30000000000e-01 1.26799421531e+01 2.97307526006e-06 7.16240948408e-03 3.24049291219e-10 3.20659454598e-10 2.61767893650e-10 5.26586445641e+00 1.03490578082e-01
3.40000000000e-01 1.21914028308e+01 3.36669249586e-06 7.27373774576e-03 3.24050718108e-10 3.20696636783e-10 2.61789088700e-10 5.46349615874e+00 1.09217569046e-01
3.50000000000e-01 1.17287533901e+01 3.79434254211e-06 7.37605441937e-03 3.24052042021e-10 3.20733880011e-10 2.61811214825e-10 5.66509745311e+00 1.15139391164e-01
3.60000000000e-01 1.12894216576e+01 4.25708022649e-06 7.47012948096e-03 3.24053271388e-10 3.20771184258e-10 2.61834294063e-10 5.87009760688e+00 1.21246111692e-01
3.70000000000e-01 1.08712961358e+01 4.75582510047e-06 7.55668998606e-03 3.24054413894e-10 3.20808549488e-10 2.61858350392e-10 6.07793745338e+00 1.27527679811e-01
3.80000000000e-01 1.04726700666e+01 5.29135515321e-06 7.63641590078e-03 3.24055476553e-10 3.20845975651e-10 2.61883409763e-10 6.28807282169e+00 1.33973990635e-01
3.90000000000e-01 1.00921731463e+01 5.86430497598e-06 7.70993811224e-03 3.24056465761e-10 3.20883462681e-10 2.61909500127e-10 6.49997831356e+00 1.40574970053e-01
4.00000000000e-01 9.72870181615e+00 6.47516791989e-06 7.77783810518e-03 3.24057387357e-10 3.20921010496e-10 2.61936651474e-10 6.71315098258e+00 1.47320668834e-01
4.10000000000e-01 9.38135497707e+00 7.12430160275e-06 7.84064887264e-03 3.24058246670e-10 3.20958618995e-10 2.61964895859e-10 6.92711358166e+00 1.54201356383e-01
4.20000000000e-01 9.04937877276e+00 7.81193603257e-06 7.89885670495e-03 3.24059048571e-10 3.20996288059e-10 2.61994267446e-10 7.14141716393e+00 1.61207607013e-01
4.30000000000e-01 8.73212178847e+00 8.53818360702e-06 7.95290357182e-03 3.24059797506e-10 3.21034017548e-10 2.62024802547e-10 7.35564292994e+00 1.68330374075e-01
4.40000000000e-01 8.42900050370e+00 9.30305029714e-06 8.00318987303e-03 3.24060497543e-10 3.21071807298e-10 2.62056539665e-10 7.56940330135e+00 1.75561049426e-01
4.50000000000e-01 8.13947396178e+00 1.01064474093e-05 8.05007738549e-03 3.24061152403e-10 3.21109657121e-10 2.62089519553e-10 7.78234226448e+00 1.82891507461e-01
4.60000000000e-01 7.86302620209e+00 1.09482034240e-05 8.09389227750e-03 3.24061765490e-10 3.21147566804e-10 2.62123785269e-10 7.99413506797e+00 1.90314134189e-01
4.70000000000e-01 7.59915489479e+00 1.18280755199e-05 8.13492809573e-03 3.24062339924e-10 3.21185536102e-10 2.62159382244e-10 8.20448738065e+00 1.97821842656e-01
4.80000000000e-01 7.34736470080e+00 1.27457604933e-05 8.17344865866e-03 3.24062878563e-10 3.21223564742e-10 2.62196358353e-10 8.41313402281e+00 2.05408076521e-01
4.90000000000e-01 7.10716406436e+00 1.37009048805e-05 8.20969081162e-03 3.24063384027e-10 3.21261652415e-10 2.62234763994e-10 8.61983738110e+00 2.13066803764e-01
5.00000000000e-01 6.87806436985e+00 1.46931141632e-05 8.24386701545e-03 3.24063858722e-10 3.21299798776e-10 2.62274652180e-10 8.82438560716e+00 2.20792502557e-01
5.10000000000e-01 6.65958062018e+00 1.57219610062e-05 8.27616775347e-03 3.24064304856e-10 3.21338003438e-10 2.62316078632e-10 9.02659068709e+00 2.28580141153e-01
5.20000000000e-01 6.45123300015e+00 1.67869925195e-05 8.30676375055e-03 3.24064724460e-10 3.21376265973e-10 2.62359101881e-10 9.22628645373e+00 2.36425153492e-01
5.30000000000e-01 6.25254886353e+00 1.78877365772e-05 8.33580800500e-03 3.24065119399e-10 3.21414585905e-10 2.62403783386e-10 9.42332659938e+00 2.44323411967e-01
5.40000000000e-01 6.06306482457e+00 1.90237072461e-05 8.36343763847e-03 3.24065491392e-10 3.21452962704e-10 2.62450187652e-10 9.61758273298e+00 2.52271198557e-01
5.50000000000e-01 5.88232874593e+00 2.01944093938e-05 8.38977557242e-03 3.24065842021e-10 3.21491395787e-10 2.62498382361e-10 9.80894251394e+00 2.60265175290e-01
5.60000000000e-01 5.70990149758e+00 2.13993425538e-05 8.41493204141e-03 3.24066172742e-10 3.21529884506e-10 2.62548438511e-10 9.99730788451e+00 2.68302354803e-01
5.70000000000e-01 5.54535842169e+00 2.26380041291e-05 8.43900595471e-03 3.24066484902e-10 3.21568428149e-10 2.62600430570e-10 1.01825934148e+01 2.76380071573e-01
5.80000000000e-01 5.38829047985e+00 2.39098920111e-05 8.46208611817e-03 3.24066779741e-10 3.21607025931e-10 2.62654436632e-10 1.03647247677e+01 2.84495954227e-01
5.90000000000e-01 5.23830508704e+00 2.52145066927e-05 8.48425232809e-03 3.24067058405e-10 3.21645676984e-10 2.62710538591e-10 1.05436372855e+01 2.92647899235e-01
6.00000000000e-01 5.09502665340e+00 2.65513529433e-05 8.50557634888e-03 3.24067321954e-10 3.21684380355e-10 2.62768822323e-10 1.07192746979e+01 3.00834046157e-01
6.10000000000e-01 4.95809686499e+00 2.79199411126e-05 8.52612278527e-03 3.24067571368e-10 3.21723134997e-10 2.62829377883e-10 1.08915879458e+01 3.09052754550e-01
6.20000000000e-01 4.82717473841e+00 2.93197881190e-05 8.54594985966e-03 3.24067807553e-10 3.21761939756e-10 2.62892299707e-10 1.10605341157e+01 3.17302582577e-01
6.30000000000e-01 4.70193648571e+00 3.07504181752e-05 8.56511010406e-03 3.24068031352e-10 3.21800793364e-10 2.62957686838e-10 1.12260754778e+01 3.25582267303e-01
6.40000000000e-01 4.58207522373e+00 3.22113632959e-05 8.58365097561e-03 3.24068243542e-10 3.21839694429e-10 2.63025643158e-10 1.13881786189e+01 3.33890706642e-01
6.50000000000e-01 4.46730056003e+00 3.37021636263e-05 8.60161540373e-03 3.24068444846e-10 3.21878641422e-10 2.63096277637e-10 1.15468136634e+01 3.42226942883e-01
6.60000000000e-01 4.35733808354e+00 3.52223676250e-05 8.61904227623e-03 3.24068635935e-10 3.21917632662e-10 2.63169704598e-10 1.17019535732e+01 3.50590147708e-01
6.70000000000e-01 4.25192878477e+00 3.67715321303e-05 8.63596687110e-03 3.24068817432e-10 3.21956666303e-10 2.63246044000e-10 1.18535735186e+01 3.58979608624e-01
6.80000000000e-01 4.15082842665e+00 3.83492223345e-05 8.65242124001e-03 3.24068989918e-10 3.21995740319e-10 2.63325421737e-10 1.20016503149e+01 3.67394716691e-01
6.90000000000e-01 4.05380688356e+00 3.99550116854e-05 8.66843454876e-03 3.24069153930e-10 3.22034852484e-10 2.63407969952e-10 1.21461619137e+01 3.75834955459e-01
7.00000000000e-01 3.96064746327e+00 4.15884817338e-05 8.68403337962e-03 3.24069309970e-10 3.22074000351e-10 2.63493827377e-10 1.22870869467e+01 3.84299891018e-01
7.10000000000e-01 3.87114622352e+00 4.32492219394e-05 8.69924199991e-03 3.24069458506e-10 3.22113181236e-10 2.63583139693e-10 1.24244043127e+01 3.92789163056e-01
7.20000000000e-01 3.78511129261e+00 4.49368294477e-05 8.71408260042e-03 3.24069599973e-10 3.22152392186e-10 2.63676059907e-10 1.25580928038e+01 4.01302476847e-01
