# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
0.00000000000e+00 3.00351793469e+01 9.25378931993e-12 1.92057612653e-04 3.09678738855e-10 3.06970233095e-10 2.97323977874e-10 4.70286938393e+00 4.33200694623e-02
1.00000000000e-02 3.05988233110e+01 1.25191210266e-11 1.93464563418e-04 3.09690295482e-10 3.06992182353e-10 2.97324014726e-10 4.61493397080e+00 4.33202600564e-02
2.00000000000e-02 3.10086589853e+01 1.70239158366e-11 1.94657603367e-04 3.09701173891e-10 3.07014167918e-10 2.97324052703e-10 4.55242996269e+00 4.33205227210e-02
3.00000000000e-02 3.13021125572e+01 2.32357246416e-11 1.95611820684e-04 3.09711387365e-10 3.07036189873e-10 2.97324091574e-10 4.50799817526e+00 4.33208846486e-02
4.00000000000e-02 3.15069297267e+01 3.17978483351e-11 1.96200887583e-04 3.09720952845e-10 3.07058248299e-10 2.97324131113e-10 4.47641581825e+00 4.33213832505e-02
5.00000000000e-02 3.16401898064e+01 4.35926556411e-11 1.96075694335e-04 3.09729890499e-10 3.07080343276e-10 2.97324171111e-10 4.45397819426e+00 4.33220698372e-02
6.00000000000e-02 3.17251742613e+01 5.98319837644e-11 1.95741164769e-04 3.09738223251e-10 3.07102474883e-10 2.97324211427e-10 4.43805169064e+00 4.33230148719e-02
7.00000000000e-02 3.17738428085e+01 8.21799039215e-11 1.95268948646e-04 3.09745976276e-10 3.07124643199e-10 2.97324252041e-10 4.42676686447e+00 4.33243151012e-02
8.00000000000e-02 3.17946274956e+01 1.12918336198e-10 1.94786445196e-04 3.09753176483e-10 3.07146848301e-10 2.97324293120e-10 4.41879998378e+00 4.33261031715e-02
9.00000000000e-02 3.17932875103e+01 1.55173298630e-10 1.94498391204e-04 3.09759852012e-10 3.07169090267e-10 2.97324335125e-10 4.41321646496e+00 4.33285607562e-02
1.00000000000e-01 3.17735602023e+01 2.13222069849e-10 1.94715107628e-04 3.09766031757e-10 3.07191369173e-10 2.97324378941e-10 4.40936043708e+00 4.33319363621e-02
1.10000000000e-01 3.17376410659e+01 2.92908994751e-10 1.95888991371e-04 3.09771744926e-10 3.07213685091e-10 2.97324426065e-10 4.40677718925e+00 4.33365694022e-02
1.20000000000e-01 3.16865282733e+01 4.02206409067e-10 1.98660887086e-04 3.09777020647e-10 3.07236038097e-10 2.97324478841e-10 4.40515920597e+00 4.33429226135e-02
