# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
0.00000000000e+00 1.00395945912e-01 3.26425362137e-12 1.79364464276e-04 3.52168171634e-10 3.04397839091e-10 3.15484762171e-10 1.23474901663e+04 -3.91890035357e-02
1.00000000000e-02 1.44295524138e-01 3.09242758184e-12 1.79676065062e-04 3.52571332744e-10 3.04597002961e-10 3.15484763519e-10 8.59070069502e+03 -3.91890046211e-02
2.00000000000e-02 2.07300069225e-01 2.93088655423e-12 1.80003927892e-04 3.52954002491e-10 3.04797983233e-10 3.15484765146e-10 5.97952602230e+03 -3.91890060989e-02
3.00000000000e-02 2.97601088459e-01 2.77973157927e-12 1.80353356492e-04 3.53316157520e-10 3.05000807362e-10 3.15484767110e-10 4.16499384676e+03 -3.91890081112e-02
4.00000000000e-02 4.26762168296e-01 2.63926046176e-12 1.80730777320e-04 3.53657935218e-10 3.05205503371e-10 3.15484769478e-10 2.90431185741e+03 -3.91890108509e-02
5.00000000000e-02 6.10956484725e-01 2.51003280965e-12 1.81143921688e-04 3.53979622155e-10 3.05412099870e-10 3.15484772335e-10 2.02860000456e+03 -3.91890145812e-02
6.00000000000e-02 8.72499903363e-01 2.39295872944e-12 1.81602033279e-04 3.54281639544e-10 3.05620626068e-10 3.15484775780e-10 1.42041648845e+03 -3.91890196599e-02
7.00000000000e-02 1.24157793801e+00 2.28941970190e-12 1.82116102344e-04 3.54564526522e-10 3.05831111789e-10 3.15484779931e-10 9.98108783013e+02 -3.91890265744e-02
8.00000000000e-02 1.75783790925e+00 2.20143322852e-12 1.82699126416e-04 3.54828922086e-10 3.06043587487e-10 3.15484784933e-10 7.04919689847e+02 -3.91890359879e-02
9.00000000000e-02 2.47110526488e+00 2.13187700513e-12 1.83366395337e-04 3.55075546487e-10 3.06258084268e-10 3.15484790957e-10 5.01405414990e+02 -3.91890488032e-02
1.00000000000e-01 3.43986217383e+00 2.08479403778e-12 1.84135795539e-04 3.55305182812e-10 3.06474633897e-10 3.15484798208e-10 3.60159997786e+02 -3.91890662489e-02
1.10000000000e-01 4.72328331104e+00 2.06580758471e-12 1.83858793725e-04 3.55518659340e-10 3.06693268823e-10 3.15484806928e-10 2.62159828540e+02 -3.91890899919e-02
1.20000000000e-01 6.37291169856e+00 2.08265292274e-12 1.83584294333e-04 3.55716833178e-10 3.06914022196e-10 3.15484817402e-10 1.94184695291e+02 -3.91891222917e-02
1.30000000000e-01 8.41144675463e+00 2.14593226032e-12 1.83496858558e-04 3.55900575485e-10 3.07136927880e-10 3.15484829972e-10 1.47033602656e+02 -3.91891662228e-02
1.40000000000e-01 1.08111026767e+01 2.27015475829e-12 1.83626884153e-04 3.56070758529e-10 3.07362020478e-10 3.15484845039e-10 1.14325204770e+02 -3.91892259614e-02
1.50000000000e-01 1.34793517422e+01 2.47512545979e-12 1.84008586841e-04 3.56228244635e-10 3.07589335348e-10 3.15484863079e-10 9.16339375234e+01 -3.91893071774e-02
1.60000000000e-01 1.62643825597e+01 2.78782687867e-12 1.84680098038e-04 3.56373877050e-10 3.07818908623e-10 3.15484884645e-10 7.58906003608e+01 -3.91894175664e-02
1.70000000000e-01 1.89854153660e+01 3.24496674729e-12 1.85683487772e-04 3.56508472624e-10 3.08050777230e-10 3.15484910388e-10 6.49666321640e+01 -3.91895675705e-02
1.80000000000e-01 2.14769724221e+01 3.89642563479e-12 1.87064734683e-04 3.56632816191e-10 3.08284978914e-10 3.15484941061e-10 5.73857983042e+01 -3.91897713522e-02
1.90000000000e-01 2.36256582404e+01 4.80991904047e-12 1.88873699248e-04 3.56747656468e-10 3.08521552259e-10 3.15484977541e-10 5.21242462688e+01 -3.91900481122e-02
2.00000000000e-01 2.53837676743e+01 6.07729685438e-12 1.91164200768e-04 3.56853703293e-10 3.08760536705e-10 3.15485020841e-10 4.84718483008e+01 -3.91904238695e-02
2.10000000000e-01 2.67599763071e+01 7.82304769246e-12 1.93994348343e-04 3.56951625998e-10 3.09001972578e-10 3.15485072127e-10 4.59360472729e+01 -3.91909338640e-02
2.20000000000e-01 2.77985259047e+01 1.02157682115e-11 1.97427323017e-04 3.57042052747e-10 3.09245901105e-10 3.15485132743e-10 4.41751780861e+01 -3.91916257955e-02
