# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
0.00000000000e+00 3.45363117183e+01 4.41385110766e-11 2.33301402660e-04 3.50611285514e-10 3.26900734815e-10 2.68182359724e-10 2.43557351605e+01 -4.42062420906e-02
1.00000000000e-02 3.46020955863e+01 6.23469846429e-11 2.39803259247e-04 3.50740705689e-10 3.27051038940e-10 2.68182211641e-10 2.42776153804e+01 -4.42089658941e-02
2.00000000000e-02 3.46219373116e+01 8.81141978490e-11 2.46764889496e-04 3.50862810000e-10 3.27202111464e-10 2.68182023464e-10 2.42256287268e+01 -4.42128187842e-02
3.00000000000e-02 3.46057228856e+01 1.24541909327e-10 2.54245176897e-04 3.50977701714e-10 3.27353958800e-10 2.68181786421e-10 2.41913859700e+01 -4.42182638429e-02
4.00000000000e-02 3.45592751078e+01 1.75982799338e-10 2.62345447616e-04 3.51085528716e-10 3.27506587426e-10 2.68181490405e-10 2.41692874870e+01 -4.42259505847e-02
5.00000000000e-02 3.44854748540e+01 2.48529687229e-10 2.71231756340e-04 3.51186478931e-10 3.27660003890e-10 2.68181123973e-10 2.41556116557e+01 -4.42367875518e-02
6.00000000000e-02 3.43850346068e+01 3.50685709524e-10 2.81167101258e-04 3.51280775071e-10 3.27814214809e-10 2.68180674458e-10 2.41479068028e+01 -4.42520414502e-02
7.00000000000e-02 3.42570262958e+01 4.94275483002e-10 2.92557329069e-04 3.51368668946e-10 3.27969226870e-10 2.68180128251e-10 2.41445862637e+01 -4.42734713249e-02
8.00000000000e-02 3.40837221626e+01 6.95618979474e-10 3.05408733273e-04 3.51450435604e-10 3.28125046829e-10 2.68179471513e-10 2.41446592334e+01 -4.43035001429e-02
9.00000000000e-02 3.38776089516e+01 9.77133434818e-10 3.21214327701e-04 3.51526367503e-10 3.28281681511e-10 2.68178691047e-10 2.41475516299e+01 -4.43454468285e-02
1.00000000000e-01 3.36349107770e+01 1.36951020334e-09 3.41283246641e-04 3.51596768933e-10 3.28439137815e-10 2.68177775493e-10 2.41529925395e+01 -4.44038376113e-02
1.10000000000e-01 3.33511547204e+01 1.91441693539e-09 3.67466775259e-04 3.51661950826e-10 3.28597422706e-10 2.68176717434e-10 2.41609408076e+01 -4.44847838190e-02
1.20000000000e-01 3.30215327036e+01 2.66795514273e-09 4.02330746721e-04 3.51722226074e-10 3.28756543225e-10 2.68175516076e-10 2.41715390996e+01 -4.45964508322e-02
1.30000000000e-01 3.26411772872e+01 3.70493991622e-09 4.49328686185e-04 3.51777905438e-10 3.28916506482e-10 2.68174180592e-10 2.41850871218e+01 -4.47496118225e-02
1.40000000000e-01 3.22054906751e+01 5.12405508110e-09 5.12935528912e-04 3.51829294061e-10 3.29077319659e-10 2.68172733892e-10 2.42020272571e+01 -4.49582675779e-02
1.50000000000e-01 3.17105190396e+01 7.05386367281e-09 5.98658328398e-04 3.51876688609e-10 3.29238990009e-10 2.68171216263e-10 2.42229374088e+01 -4.52402881733e-02
1.60000000000e-01 3.11533422282e+01 9.65954438698e-09 7.12801637586e-04 3.51920375005e-10 3.29401524857e-10 2.68169687860e-10 2.42485265469e+01 -4.56179975924e-02
1.70000000000e-01 3.05324264660e+01 1.31500810818e-08 8.61862434905e-04 3.51960626716e-10 3.29564931601e-10 2.68168228801e-10 2.42796285010e+01 -4.61185822263e-02
1.80000000000e-01 2.98478740053e+01 1.77854628891e-08 1.05151833588e-03 3.51997703541e-10 3.29729217709e-10 2.68166935834e-10 2.43171891375e+01 -4.67741678780e-02
1.90000000000e-01 2.91015114314e+01 2.38832716197e-08 1.28537683952e-03 3.52031850840e-10 3.29894390721e-10 2.68165915614e-10 2.43622415053e+01 -4.76213938257e-02
2.00000000000e-01 2.82967969629e+01 3.18238605763e-08 1.56387958697e-03 3.52063299130e-10 3.30060458247e-10 2.68165276165e-10 2.44158633696e+01 -4.87003375881e-02
2.10000000000e-01 2.74385916168e+01 4.20531927110e-08 1.88380370341e-03 3.52092264000e-10 3.30227427968e-10 2.68165118942e-10 2.44791126924e+01 -5.00527280296e-02
2.20000000000e-01 2.65329015227e+01 5.50823548349e-08 2.23856378977e-03 3.52118946270e-10 3.30395307636e-10 2.68165533295e-10 2.45529401192e+01 -5.17195289469e-02
2.30000000000e-01 2.55867147126e+01 7.14828796069e-08 2.61915461500e-03 3.52143532356e-10 3.30564105071e-10 2.68166593605e-10 2.46380839388e+01 -5.37381532779e-02
2.40000000000e-01 2.46079943982e+01 9.18773880757e-08 3.01536468508e-03 3.52166194778e-10 3.30733828161e-10 2.68168358244e-10 2.47349613137e+01 -5.61397224750e-02
2.50000000000e-01 2.36057703544e+01 1.16925763434e-07 3.41692509891e-03 3.52187092780e-10 3.30904484863e-10 2.68170869553e-10 2.48435766647e+01 -5.89468478126e-02
2.60000000000e-01 2.25901636019e+01 1.47307983491e-07 3.81440975149e-03 3.52206373021e-10 3.31076083198e-10 2.68174154478e-10 2.49634696317e+01 -6.21723354439e-02
2.70000000000e-01 2.15721678164e+01 1.83705586051e-07 4.19983285841e-03 3.52224170310e-10 3.31248631252e-10 2.68178225871e-10 2.50937182529e+01 -6.58190151711e-02
2.80000000000e-01 2.05631144083e+01 2.26784142521e-07 4.56695923773e-03 3.52240608366e-10 3.31422137176e-10 2.68183084458e-10 2.52329993386e+01 -6.98806329605e-02
2.90000000000e-01 1.95739047129e+01 2.77178833691e-07 4.91137330222e-03 3.52255800575e-10 3.31596609179e-10 2.68188721325e-10 2.53796930316e+01 -7.43435239261e-02
3.00000000000e-01 1.86142055187e+01 3.35484336930e-07 5.23036637563e-03 3.52269850740e-10 3.31772055532e-10 2.68195120634e-10 2.55320086977e+01 -7.91886679677e-02
3.10000000000e-01 1.76918153514e+01 4.02249113640e-07 5.52270608790e-03 3.52282853803e-10 3.31948484560e-10 2.68202262307e-10 2.56881079721e+01 -8.43937422630e-02
3.20000000000e-01 1.68123311163e+01 4.77973267531e-07 5.78834715651e-03 3.52294896542e-10 3.32125904643e-10 2.68210124412e-10 2.58462068505e+01 -8.99348893664e-02
3.30000000000e-01 1.59791349754e+01 5.63108701157e-07 6.02813153492e-03 3.52306058232e-10 3.32304324212e-10 2.68218685136e-10 2.60046480890e+01 -9.57880590675e-02
3.40000000000e-01 1.51936345061e+01 6.58060344596e-07 6.24351120943e-03 3.52316411266e-10 3.32483751743e-10 2.68227924286e-10 2.61619437392e+01 -1.01929905858e-01
3.50000000000e-01 1.44556499679e+01 7.63187591380e-07 6.43631249586e-03 3.52326021737e-10 3.32664195756e-10 2.68237824336e-10 2.63167930738e+01 -1.08338305047e-01
3.60000000000e-01 1.37638461765e+01 8.78805526758e-07 6.60854896170e-03 3.52334949978e-10 3.32845664810e-10 2.68248371089e-10 2.64680831837e+01 -1.14992586148e-01
3.70000000000e-01 1.31161343561e+01 1.00518590311e-06 6.76228200497e-03 3.52343251066e-10 3.33028167498e-10 2.68259554019e-10 2.66148791183e+01 -1.21873583245e-01
3.80000000000e-01 1.25100029739e+01 1.14255803297e-06 6.89952345442e-03 3.52350975283e-10 3.33211712441e-10 2.68271366396e-10 2.67564088304e+01 -1.28963584021e-01
3.90000000000e-01 1.19427645682e+01 1.29110983628e-06 7.02217254999e-03 3.52358168544e-10 3.33396308280e-10 2.68283805238e-10 2.68920463669e+01 -1.36246234730e-01
4.00000000000e-01 1.14117238150e+01 1.45098924088e-06 7.13197942343e-03 3.52364872782e-10 3.33581963673e-10 2.68296871176e-10 2.70212952252e+01 -1.43706435759e-01
4.10000000000e-01 1.09142811328e+01 1.62230604765e-06 7.23052795691e-03 3.52371126314e-10 3.33768687285e-10 2.68310568251e-10 2.71437727559e+01 -1.51330245143e-01
4.20000000000e-01 1.04479885606e+01 1.80513427670e-06 7.31923209360e-03 3.52376964158e-10 3.33956487781e-10 2.68324903700e-10 2.72591958852e+01 -1.59104796029e-01
4.30000000000e-01 1.00105732551e+01 1.99951493361e-06 7.39934095625e-03 3.52382418337e-10 3.34145373813e-10 2.68339887727e-10 2.73673681425e+01 -1.67018227773e-01
4.40000000000e-01 9.59994088148e+00 2.20545908655e-06 7.47194930454e-03 3.52387518145e-10 3.34335354014e-10 2.68355533299e-10 2.74681678750e+01 -1.75059627559e-01
4.50000000000e-01 9.21416780377e+00 2.42295112354e-06 7.53801084859e-03 3.52392290398e-10 3.34526436984e-10 2.68371855956e-10 2.75615375293e+01 -1.83218978830e-01
4.60000000000e-01 8.85148801243e+00 2.65195206087e-06 7.59835271396e-03 3.52396759654e-10 3.34718631280e-10 2.68388873647e-10 2.76474739053e+01 -1.91487113344e-01
4.70000000000e-01 8.51027842720e+00 2.89240278915e-06 7.65368994148e-03 3.52400948416e-10 3.34911945396e-10 2.68406606597e-10 2.77260193220e+01 -1.99855664602e-01
4.80000000000e-01 8.18904458525e+00 3.14422716705e-06 7.70463933210e-03 3.52404877322e-10 3.35106387755e-10 2.68425077196e-10 2.77972536541e+01 -2.08317021367e-01
4.90000000000e-01 7.88640766327e+00 3.40733489816e-06 7.75173224710e-03 3.52408565303e-10 3.35301966684e-10 2.68444309911e-10 2.78612872088e+01 -2.16864280758e-01
5.00000000000e-01 7.60109314386e+00 3.68162415043e-06 7.79542617789e-03 3.52412029745e-10 3.35498690401e-10 2.68464331234e-10 2.79182544115e+01 -2.25491200974e-01
5.10000000000e-01 7.33192109069e+00 3.96698389830e-06 7.83611503285e-03 3.52415286618e-10 3.35696566991e-10 2.68485169633e-10 2.79683082617e+01 -2.34192154014e-01
5.20000000000e-01 7.07779783734e+00 4.26329598361e-06 7.87413817179e-03 3.52418350606e-10 3.35895604382e-10 2.68506855541e-10 2.80116155154e+01 -2.42962078934e-01
5.30000000000e-01 6.83770884458e+00 4.57043690355e-06 7.90978826707e-03 3.52421235219e-10 3.36095810320e-10 2.68529421349e-10 2.80483525407e+01 -2.51796436181e-01
5.40000000000e-01 6.61071248931e+00 4.88827934170e-06 7.94331809518e-03 3.52423952895e-10 3.36297192342e-10 2.68552901424e-10 2.80787017884e+01 -2.60691163528e-01
5.50000000000e-01 6.39593458290e+00 5.21669346342e-06 7.97494637270e-03 3.52426515092e-10 3.36499757740e-10 2.68577332138e-10 2.81028488160e+01 -2.69642634016e-01
