# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP)
0.00000000000e+00 9.66398791700e+00 2.06700676392e-12 1.81825605609e-04 3.49186675568e-10 3.44712491035e-10 2.87942139479e-10 6.60383473668e+01 -4.28244455150e-02
1.00000000000e-02 1.26710727306e+01 2.20569679892e-12 1.83178867865e-04 3.49206693117e-10 3.44747050729e-10 2.87942149000e-10 5.03572811404e+01 -4.28244992223e-02
2.00000000000e-02 1.59872022781e+01 2.44571157009e-12 1.84788456814e-04 3.49225543271e-10 3.44781693756e-10 2.87942160514e-10 3.99036372347e+01 -4.28245743624e-02
3.00000000000e-02 1.93651048001e+01 2.82440045597e-12 1.86692637523e-04 3.49243247818e-10 3.44816420420e-10 2.87942174400e-10 3.29350301710e+01 -4.28246794769e-02
4.00000000000e-02 2.25384618939e+01 3.39415004753e-12 1.88931778787e-04 3.49259834983e-10 3.44851231028e-10 2.87942191100e-10 2.82896288135e+01 -4.28248265044e-02
5.00000000000e-02 2.53002724979e+01 4.22833329015e-12 1.91547393626e-04 3.49275338692e-10 3.44886125884e-10 2.87942211118e-10 2.51928314782e+01 -4.28250321260e-02
6.00000000000e-02 2.75475176107e+01 5.42960246650e-12 1.94581024321e-04 3.49289797750e-10 3.44921105293e-10 2.87942235030e-10 2.31282701067e+01 -4.28253196415e-02
7.00000000000e-02 2.92767207215e+01 7.14143996200e-12 1.98073131937e-04 3.49303254969e-10 3.44956169561e-10 2.87942263483e-10 2.17517575385e+01 -4.28257215814e-02
8.00000000000e-02 3.05491564308e+01 9.56423097159e-12 2.02062219161e-04 3.49315756265e-10 3.44991318990e-10 2.87942297201e-10 2.08338943088e+01 -4.28262833415e-02
9.00000000000e-02 3.14526658729e+01 1.29776026380e-11 2.06584459382e-04 3.49327349787e-10 3.45026553887e-10 2.87942336990e-10 2.02217977679e+01 -4.28270682332e-02
1.00000000000e-01 3.20750954154e+01 1.77714301970e-11 2.11674109054e-04 3.49338085079e-10 3.45061874553e-10 2.87942383745e-10 1.98135872710e+01 -4.28281644905e-02
1.10000000000e-01 3.24912363190e+01 2.44888023965e-11 2.17364945682e-04 3.49348012312e-10 3.45097281293e-10 2.87942438456e-10 1.95413770014e+01 -4.28296949755e-02
1.20000000000e-01 3.27591540724e+01 3.38854430591e-11 2.23692924842e-04 3.49357181594e-10 3.45132774407e-10 2.87942502224e-10 1.93599420634e+01 -4.28318305926e-02
1.30000000000e-01 3.29213332444e+01 4.70117010432e-11 2.30700232362e-04 3.49365642380e-10 3.45168354197e-10 2.87942576279e-10 1.92391674108e+01 -4.28348087815e-02
1.40000000000e-01 3.30075678240e+01 6.53253677468e-11 2.38440975330e-04 3.49373442965e-10 3.45204020962e-10 2.87942662010e-10 1.91590191459e+01 -4.28389589307e-02
1.50000000000e-01 3.30380205496e+01 9.08464033261e-11 2.46988952114e-04 3.49380630084e-10 3.45239775001e-10 2.87942761004e-10 1.91061980783e+01 -4.28447371717e-02
1.60000000000e-01 3.30258262915e+01 1.26368312371e-10 2.56448290832e-04 3.49387248594e-10 3.45275616610e-10 2.87942875100e-10 1.90719158987e+01 -4.28527737945e-02
1.70000000000e-01 3.29790968879e+01 1.75745576437e-10 2.66968251761e-04 3.49393341241e-10 3.45311546084e-10 2.87943006463e-10 1.90504214617e+01 -4.28639375004e-02
1.80000000000e-01 3.28905211135e+01 2.44271000776e-10 2.78213938065e-04 3.49398948503e-10 3.45347563716e-10 2.87943157664e-10 1.90380307338e+01 -4.28794193003e-02
1.90000000000e-01 3.27708978623e+01 3.39173470373e-10 2.90886893286e-04 3.49404108499e-10 3.45383669796e-10 2.87943331787e-10 1.90324895854e+01 -4.29008423610e-02
2.00000000000e-01 3.26238252741e+01 4.70334215983e-10 3.05580603882e-04 3.49408856947e-10 3.45419864611e-10 2.87943532687e-10 1.90325684565e+01 -4.29304188444e-02
2.10000000000e-01 3.24483742610e+01 6.51179336774e-10 3.22931554194e-04 3.49413227172e-10 3.45456148448e-10 2.87943765196e-10 1.90378216639e+01 -4.29711421708e-02
2.20000000000e-01 3.22427654004e+01 8.99858226777e-10 3.43847723083e-04 3.49417250151e-10 3.45492521586e-10 2.87944035454e-10 1.90484506822e+01 -4.30270358705e-02
2.30000000000e-01 3.20046951316e+01 1.24076391150e-09 3.69610490064e-04 3.49420954581e-10 3.45528984305e-10 2.87944351348e-10 1.90652475240e+01 -4.31034653195e-02
2.40000000000e-01 3.17316249032e+01 1.70646737766e-09 4.02000664571e-04 3.49424366971e-10 3.45565536879e-10 2.87944723089e-10 1.90895967052e+01 -4.32075177564e-02
2.50000000000e-01 3.14210545671e+01 2.34014197010e-09 4.43441540219e-04 3.49427511751e-10 3.45602179577e-10 2.87945163954e-10 1.91235192785e+01 -4.33484496472e-02
2.60000000000e-01 3.10707827642e+01 3.19855188951e-09 4.97138350559e-04 3.49430411385e-10 3.45638912665e-10 2.87945691202e-10 1.91697435510e+01 -4.35381890565e-02
2.70000000000e-01 3.06791368595e+01 4.35566920027e-09 5.67172551323e-04 3.49433086490e-10 3.45675736402e-10 2.87946327126e-10 1.92317846844e+01 -4.37918630740e-02
2.80000000000e-01 3.02451350408e+01 5.90696384836e-09 6.58483751442e-04 3.49435555964e-10 3.45712651042e-10 2.87947100165e-10 1.93140099368e+01 -4.41282961830e-02
2.90000000000e-01 2.97685294973e+01 7.97437665717e-09 7.76653300643e-04 3.49437837104e-10 3.45749656833e-10 2.87948045891e-10 1.94216589782e+01 -4.45703965116e-02
3.00000000000e-01 2.92496827766e+01 1.07119280076e-08 9.27414097131e-04 3.49439945728e-10 3.45786754015e-10 2.87949207603e-10 1.95607818048e+01 -4.51453184354e-02
3.10000000000e-01 2.86892619304e+01 1.43118207945e-08 1.11587598944e-03 3.49441896286e-10 3.45823942823e-10 2.87950636196e-10 1.97380541575e+01 -4.58842717601e-02
3.20000000000e-01 2.80878030311e+01 1.90107460865e-08 1.34557582362e-03 3.49443701974e-10 3.45861223480e-10 2.87952389049e-10 1.99604371999e+01 -4.68218533355e-02
3.30000000000e-01 2.74452891388e+01 2.50958792479e-08 1.61758487930e-03 3.49445374833e-10 3.45898596203e-10 2.87954527845e-10 2.02346694163e+01 -4.79948203310e-02
3.40000000000e-01 2.67609565733e+01 3.29097762092e-08 1.92994793750e-03 3.49446925850e-10 3.45936061199e-10 2.87957115542e-10 2.05666157668e+01 -4.94403125096e-02
3.50000000000e-01 2.60335369551e+01 4.28531143089e-08 2.27763901300e-03 3.49448365048e-10 3.45973618662e-10 2.87960212969e-10 2.09605465705e+01 -5.11936549471e-02
3.60000000000e-01 2.52620133775e+01 5.53841087199e-08 2.65304499851e-03 3.49449701568e-10 3.46011268776e-10 2.87963875619e-10 2.14184621122e+01 -5.32860030888e-02
3.70000000000e-01 2.44467428771e+01 7.10136415582e-08 3.04683192978e-03 3.49450943749e-10 3.46049011713e-10 2.87968151119e-10 2.19395989958e+01 -5.57421832186e-02
3.80000000000e-01 2.35905814215e+01 9.02957604762e-08 3.44897626232e-03 3.49452099196e-10 3.46086847630e-10 2.87973077677e-10 2.25202350156e+01 -5.85790894453e-02
3.90000000000e-01 2.26995769171e+01 1.13814144680e-07 3.84975344779e-03 3.49453174853e-10 3.46124776669e-10 2.87978683575e-10 2.31538496754e+01 -6.18049048471e-02
4.00000000000e-01 2.17829333886e+01 1.42166095888e-07 4.24053254196e-03 3.49454177054e-10 3.46162798956e-10 2.87984987594e-10 2.38316154015e+01 -6.54192418113e-02
4.10000000000e-01 2.08522290340e+01 1.75946201717e-07 4.61429715511e-03 3.49455111584e-10 3.46200914599e-10 2.87992000161e-10 2.45431199583e+01 -6.94141017851e-02
4.20000000000e-01 1.99201402927e+01 2.15731783286e-07 4.96588062014e-03 3.49455983728e-10 3.46239123687e-10 2.87999724936e-10 2.52771801279e+01 -7.37754026787e-02
4.30000000000e-01 1.89990540076e+01 2.62071607394e-07 5.29195486869e-03 3.49456798315e-10 3.46277426286e-10 2.88008160598e-10 2.60226101871e+01 -7.84847557289e-02
4.40000000000e-01 1.80999100877e+01 3.15478406001e-07 5.59084176013e-03 3.49457559760e-10 3.46315822442e-10 2.88017302600e-10 2.67688466936e+01 -8.35211970793e-02
4.50000000000e-01 1.72314695178e+01 3.76424874847e-07 5.86222262342e-03 3.49458272104e-10 3.46354312174e-10 2.88027144748e-10 2.75063832507e+01 -8.88626645804e-02
4.60000000000e-01 1.64000383999e+01 4.45342282387e-07 6.10681225213e-03 3.49458939044e-10 3.46392895473e-10 2.88037680533e-10 2.82270157918e+01 -9.44871164378e-02
4.70000000000e-01 1.56095623953e+01 5.22620677277e-07 6.32604557458e-03 3.49459563966e-10 3.46431572301e-10 2.88048904165e-10 2.89239294654e+01 -1.00373281019e-01
4.80000000000e-01 1.48619566829e+01 6.08609842854e-07 6.52180580910e-03 3.49460149976e-10 3.46470342590e-10 2.88060811342e-10 2.95916708204e+01 -1.06501088445e-01
4.90000000000e-01 1.41575407583e+01 7.03620449594e-07 6.69620657959e-03 3.49460699919e-10 3.46509206232e-10 2.88073399776e-10 3.02260480978e+01 -1.12851862489e-01
5.00000000000e-01 1.34954799277e+01 8.07925159898e-07 6.85142898617e-03 3.49461216409e-10 3.46548163083e-10 2.88086669517e-10 3.08239942634e+01 -1.19408353471e-01
5.10000000000e-01 1.28741745597e+01 9.21759661455e-07 6.98960788973e-03 3.49461701846e-10 3.46587212958e-10 2.88100623139e-10 3.13834171341e+01 -1.26154680027e-01
5.20000000000e-01 1.22915713625e+01 1.04532372361e-06 7.11275864548e-03 3.49462158435e-10 3.46626355624e-10 2.88115265805e-10 3.19030516959e+01 -1.33076229159e-01
5.30000000000e-01 1.17453936173e+01 1.17878240153e-06 7.22273495906e-03 3.49462588203e-10 3.46665590799e-10 2.88130605264e-10 3.23823227572e+01 -1.40159546002e-01
5.40000000000e-01 1.12332998824e+01 1.32226748732e-06 7.32120936375e-03 3.49462993017e-10 3.46704918146e-10 2.88146651799e-10 3.28212214983e+01 -1.47392230379e-01
5.50000000000e-01 1.07529857467e+01 1.47587925690e-06 7.40966925163e-03 3.49463374596e-10 3.46744337268e-10 2.88163418152e-10 3.32201968033e+01 -1.54762847203e-01
5.60000000000e-01 1.03022436195e+01 1.63968850891e-06 7.48942295389e-03 3.49463734526e-10 3.46783847704e-10 2.88180919432e-10 3.35800608792e+01 -1.62260851725e-01
5.70000000000e-01 9.87899356929e+00 1.81373885033e-06 7.56161179727e-03 3.49464074266e-10 3.46823448921e-10 2.88199173029e-10 3.39019080714e+01 -1.69876527567e-01
5.80000000000e-01 9.48129541520e+00 1.99804915758e-06 7.62722525658e-03 3.49464395167e-10 3.46863140306e-10 2.88218198533e-10 3.41870456025e+01 -1.77600934348e-01
5.90000000000e-01 9.10734948555e+00 2.19261613160e-06 7.68711725562e-03 3.49464698473e-10 3.46902921164e-10 2.88238017654e-10 3.44369349657e+01 -1.85425861786e-01
6.00000000000e-01 8.75549110477e+00 2.39741686645e-06 7.74202236409e-03 3.49464985338e-10 3.46942790703e-10 2.88258654174e-10 3.46531427834e+01 -1.93343787718e-01
6.10000000000e-01 8.42418206026e+00 2.61241136091e-06 7.79257113612e-03 3.49465256826e-10 3.46982748032e-10 2.88280133892e-10 3.48373000273e+01 -2.01347838243e-01
6.20000000000e-01 8.11200101015e+00 2.83754491616e-06 7.83930418093e-03 3.49465513923e-10 3.47022792144e-10 2.88302484597e-10 3.49910685851e+01 -2.09431748890e-01
6.30000000000e-01 7.81763392461e+00 3.07275037794e-06 7.88268478536e-03 3.49465757543e-10 3.47062921913e-10 2.88325736053e-10 3.51161142350e+01 -2.17589826284e-01
6.40000000000e-01 7.53986510263e+00 3.31795019595e-06 7.92311005546e-03 3.49465988534e-10 3.47103136074e-10 2.88349919994e-10 3.52140851597e+01 -2.25816910163e-01
6.50000000000e-01 7.27756897794e+00 3.57305828619e-06 7.96092063312e-03 3.49466207681e-10 3.47143433216e-10 2.88375070133e-10 3.52865952080e+01 -2.34108335888e-01
6.60000000000e-01 7.02970274687e+00 3.83798169179e-06 7.99640909335e-03 3.49466415714e-10 3.47183811764e-10 2.88401222189e-10 3.53352111799e+01 -2.42459897676e-01
6.70000000000e-01 6.79529976185e+00 4.11262204623e-06 8.02982715143e-03 3.49466613309e-10 3.47224269965e-10 2.88428413917e-10 3.53614434846e+01 -2.50867812867e-01
6.80000000000e-01 6.57346359978e+00 4.39687684805e-06 8.06139181643e-03 3.49466801099e-10 3.47264805869e-10 2.88456685154e-10 3.53667395956e+01 -2.59328687500e-01
6.90000000000e-01 6.36336270902e+00 4.69064055983e-06 8.09129062426e-03 3.49466979668e-10 3.47305417309e-10 2.88486077879e-10 3.53524797946e+01 -2.67839483466e-01
7.00000000000e-01 6.16422554742e+00 4.99380554660e-06 8.11968607506e-03 3.49467149562e-10 3.47346101881e-10 2.88516636276e-10 3.53199747643e+01 -2.76397487397e-01
7.10000000000e-01 5.97533613825e+00 5.30626286932e-06 8.14671938781e-03 3.49467311289e-10 3.47386856919e-10 2.88548406808e-10 3.52704646554e+01 -2.85000281444e-01
7.20000000000e-01 5.79602998505e+00 5.62790294945e-06 8.17251367277e-03 3.49467465324e-10 3.47427679467e-10 2.88581438309e-10 3.52051193079e+01 -2.93645715999e-01
7.30000000000e-01 5.62569029982e+00 5.95861611995e-06 8.19717660958e-03 3.49467612108e-10 3.47468566255e-10 2.88615782075e-10 3.51250393591e+01 -3.02331884387e-01
7.40000000000e-01 5.46374450915e+00 6.29829307712e-06 8.22080270718e-03 3.49467752054e-10 3.47509513659e-10 2.88651491969e-10 3.50312580193e+01 -3.11057099497e-01
7.50000000000e-01 5.30966101098e+00 6.64682524660e-06 8.24347521080e-03 3.49467885548e-10 3.47550517674e-10 2.88688624536e-10 3.49247433308e+01 -3.19819872322e-01
7.60000000000e-01 5.16294616068e+00 7.00410507553e-06 8.26526771170e-03 3.49468012948e-10 3.47591573866e-10 2.88727239125e-10 3.48064007659e+01 -3.28618892292e-01
7.70000000000e-01 5.02314146889e+00 7.37002626177e-06 8.28624550693e-03 3.49468134593e-10 3.47632677336e-10 2.88767398027e-10 3.46770760429e+01 -3.37453009351e-01
7.80000000000e-01 4.88982099670e+00 7.74448392965e-06 8.30646674898e-03 3.49468250797e-10 3.47673822669e-10 2.88809166612e-10 3.45375580685e+01 -3.46321217635e-01
7.90000000000e-01 4.76258893542e+00 8.12737476066e-06 8.32598341896e-03 3.49468361855e-10 3.47715003881e-10 2.88852613486e-10 3.43885819318e+01 -3.55222640671e-01
8.00000000000e-01 4.64107735950e+00 8.51859708658e-06 8.34484215153e-03 3.49468468044e-10 3.47756214364e-10 2.88897810657e-10 3.42308318934e+01 -3.64156517967e-01
8.10000000000e-01 4.52494414189e+00 8.91805095119e-06 8.36308493539e-03 3.49468569623e-10 3.47797446819e-10 2.88944833707e-10 3.40649443262e+01 -3.73122192897e-01
8.20000000000e-01 4.41387102192e+00 9.32563814626e-06 8.38074970910e-03 3.49468666835e-10 3.47838693190e-10 2.88993761982e-10 3.38915105767e+01 -3.82119101766e-01
8.30000000000e-01 4.30756181599e+00 9.74126222644e-06 8.39787086894e-03 3.49468759908e-10 3.47879944588e-10 2.89044678790e-10 3.37110797227e+01 -3.91146763961e-01
8.40000000000e-01 4.20574076190e+00 1.01648285071e-05 8.41447970279e-03 3.49468849056e-10 3.47921191205e-10 2.89097671615e-10 3.35241612123e+01 -4.00204773084e-01
8.50000000000e-01 4.10815098802e+00 1.05962440487e-05 8.43060476149e-03 3.49468934480e-10 3.47962422232e-10 2.89152832340e-10 3.33312273728e+01 -4.09292788990e-01
8.60000000000e-01 4.01455309873e+00 1.10354176301e-05 8.44627217775e-03 3.49469016371e-10 3.48003625753e-10 2.89210257492e-10 3.31327157855e+01 -4.18410530630e-01
8.70000000000e-01 3.92472386806e+00 1.14822597139e-05 8.46150594048e-03 3.49469094905e-10 3.48044788650e-10 2.89270048497e-10 3.29290315211e+01 -4.27557769642e-01
8.80000000000e-01 3.83845503380e+00 1.19366824054e-05 8.47632813153e-03 3.49469170251e-10 3.48085896485e-10 2.89332311948e-10 3.27205492387e+01 -4.36734324596e-01
8.90000000000e-01 3.75555218476e+00 1.23985994074e-05 8.49075913063e-03 3.49469242566e-10 3.48126933387e-10 2.89397159901e-10 3.25076151480e+01 -4.45940055852e-01
9.00000000000e-01 3.67583373425e+00 1.28679259708e-05 8.50481779311e-03 3.49469311999e-10 3.48167881922e-10 2.89464710178e-10 3.22905488397e+01 -4.55174860956e-01
9.10000000000e-01 3.59912997332e+00 1.33445788445e-05 8.51852160475e-03 3.49469378689e-10 3.48208722966e-10 2.89535086698e-10 3.20696449870e+01 -4.64438670520e-01
9.20000000000e-01 3.52528219753e+00 1.38284762231e-05 8.53188681684e-03 3.49469442770e-10 3.48249435572e-10 2.89608419824e-10 3.18451749249e+01 -4.73731444552e-01
9.30000000000e-01 3.45414190176e+00 1.43195376948e-05 8.54492856452e-03 3.49469504365e-10 3.48289996829e-10 2.89684846734e-10 3.16173881107e+01 -4.83053169166e-01
9.40000000000e-01 3.38557003759e+00 1.48176841896e-05 8.55766097071e-03 3.49469563592e-10 3.48330381729e-10 2.89764511815e-10 3.13865134735e+01 -4.92403853663e-01
9.50000000000e-01 3.31943632834e+00 1.53228379270e-05 8.57009723772e-03 3.49469620563e-10 3.48370563033e-10 2.89847567086e-10 3.11527606561e+01 -5.01783527918e-01
